"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1817",4913,2844.91939283876,4781.96131534218,3850.65727714543,3878.61972674549,3794.167879872
"1818",83,1271.20580203501,272.023635831954,-121.330825759392,71.8362820668858,344.275048287707
"1819",0,402.426425988749,243.586303049902,107.919169806709,-212.916525866033,-128.501202534763
"1820",37397,9586.6431537283,14887.0353151808,10444.4609148338,10472.5930619158,11061.7958886689
"1821",648,1678.36759174043,910.415335994149,1451.42553736954,1772.63409098331,1646.2281553981
"1822",945,1533.83690980557,696.501307312214,2899.86687849304,3045.72082308031,2676.39528302939
"1823",2785,3661.33281689236,3499.19819418187,2556.48563909413,2715.26831480174,3076.36804246535
"1824",573,2341.89290172161,1511.10167246126,2006.52862555308,2102.76285019425,2152.53878015372
"1825",9479,2545.95215106196,19930.6938537081,20544.1639385168,18079.8497638834,18372.3431855824
"1826",1246,2596.879221104,2707.81257999411,4466.5513546503,4719.46389033027,4319.10020152401
"1827",5181,17051.0953248023,11792.6053943594,10580.0788514607,8574.50218043449,10179.3086866001
"1828",63,1623.46438056695,869.039456290619,131.415701528464,65.2611071160277,404.077623360968
"1829",0,707.26804353969,438.98068226461,459.186719976775,606.027299732534,411.493100720881
"1830",523,1091.66342274478,1504.21946672811,1847.59710951901,1638.83271800635,1379.50867731339
"1831",3980,1964.04383959292,1727.67708898706,2202.43351544448,2057.51954329151,2003.84326297002
"1832",0,1853.11025822251,1406.13395880628,2141.00554880243,2022.74078256109,2000.46885712724
"1833",2082,3761.66408891811,2683.54483832104,3597.26555232322,3532.51273482641,3119.5530283029
"1834",3578,3849.17335195686,5385.90807549334,4452.95767901765,4258.56983294281,4292.1138083877
"1835",92,748.462340608987,451.553040326895,284.744253708248,274.146209017326,198.372780649477
"1836",1082,5979.85784512891,7146.01212742987,8602.5887086572,9436.87214535843,9175.8360057832
"1837",494,1908.4930667087,1711.08198713106,2783.89647378338,3030.19655776795,2722.39950753824
"1838",0,708.521551982041,1300.35313079315,392.123124894279,457.799383572252,503.899583149131
"1839",8966,646.745966163371,512.813617757324,291.688918901249,28.2805468509061,181.381399637848
"1840",300,3769.83930137496,3964.61586671096,2970.71947276991,2511.06888859974,2689.3158065416
"1841",260,2172.04955635659,256.333930913143,2682.46095342491,2523.86287176034,2137.1963208659
"1842",899,2855.95259533665,4646.0879443152,3706.12841281366,3839.2952177081,3834.17706189241
"1843",436,362.764224561821,728.480688910309,-139.657522439523,-56.1143718075769,-203.118461718359
"1844",0,271.509387594443,614.779041585947,-150.972810839631,-241.956252618098,-340.975157935289
"1845",0,392.179463360886,417.151948776896,86.535320147364,-26.4527422596462,-29.5579102692711
"1846",363,1561.74432601622,556.212888943541,1139.02891169953,1974.13151632035,2063.88243099359
"1847",0,1736.56062195779,1144.22964731516,1243.32939599085,1443.74533612076,1554.70456543433
"1848",865,3842.7814961429,5897.39518834902,4794.60757542032,4617.30024723638,4342.27696558606
"1849",343,1992.26335219997,1093.88715881146,1315.28973411872,567.131034768694,233.590444475441
"1850",20953,2972.79914239478,1658.92568003241,2513.71334058563,2523.7633090429,2503.34696521793
"1851",534,1304.51876392742,1451.14801096189,1901.3691153925,2353.09373143237,2486.2632505564
"1852",1634,6002.57654690124,8329.24359503749,6978.20552268214,6594.45657831267,6281.46453560428
"1853",2648,1507.08591551116,1889.81062747807,2039.51638274341,2146.68904087304,2249.51442417378
"1854",4417,2843.92351019663,1455.37889415604,3276.3497053017,2989.32726577312,2941.98536171132
"1855",589,1285.50325559428,1230.3691691768,1787.97625985714,2038.58399674134,1846.56770332624
"1856",0,3143.60172742528,5301.43966901831,3034.68830052461,3253.79219292381,3103.49435078758
"1857",393,4162.74903754428,2996.53818720634,4582.56010034224,4299.41135099708,4370.12547254443
"1858",0,658.226188757172,268.114833976956,266.661799060925,149.27810200891,221.917600632994
"1859",5530,4289.8617450071,8205.01644872199,8959.01480274181,8236.16757051817,8913.4164703664
"1860",0,266.282632269037,896.576554894651,443.06619614556,674.34319879752,690.772492477186
"1861",62,2669.75709864132,3156.75167897981,3586.9903443512,4371.85056255248,3901.4647864841
"1862",3755,18106.1353362578,18102.4837840292,15720.7073243173,15730.3281446245,16086.8299971894
"1863",179,326.391712792421,183.59207255712,-7.9513548683946,192.042829036675,-144.075552875415
"1864",270,1906.68324452077,2359.0422104267,2292.63439176899,2348.44124740983,2460.9154508002
"1865",3296,631.747866495631,410.839742989946,860.663214785637,1194.30889728678,1161.99679945767
"1866",576,1758.18428693586,1292.07828921894,2473.75297207763,3021.60261073206,2496.16050819079
"1867",113,3172.11508705832,3527.61290892286,3771.30116135967,3849.02280959102,4049.79152405981
"1868",0,986.420781776483,768.124544182236,308.2407815034,40.8398379915005,559.331472897426
"1869",0,1865.31309805984,439.901598107398,1176.60444790931,944.237018862393,826.543403744563
"1870",29365,12470.7686529835,5215.72878940027,7926.41389746431,6748.6862932675,7295.22477247077
"1871",1136,2709.56964692568,3206.37155702959,2943.07587231274,2853.88394155352,2846.89132547416
"1872",1764,2173.38487504534,1215.2713008703,1699.8253904467,1729.76174279115,1708.07852433488
"1873",108,2144.91828504002,1227.41868050874,1768.6304109141,1809.01166206702,1702.60168760023
"1874",931,2201.55204316241,413.272426795585,374.375529094336,462.008419493674,738.471173593008
"1875",529,1569.53704028665,731.949948821559,2935.14349054303,3538.81193902352,2762.62823271464
"1876",428,1879.08804109414,1042.76777448209,493.355505605387,301.53929672427,288.156036316225
"1877",789,3298.38187220997,5493.54543743723,2307.38132665058,2464.67572630397,2778.85118512356
"1878",1894,1225.36520913871,2701.80805052516,3868.41258400855,3451.02626710095,3168.74266742346
"1879",209,2349.24207293836,571.927433556706,2039.89578370821,2019.0442240238,2216.81414538199
"1880",84,1859.17118591155,415.928376780932,1968.28794648205,1676.08305812289,1764.14581341365
"1881",60,3409.11162872863,2690.62785631572,2520.03864456928,1899.76102709581,2681.00016083081
"1882",131,1690.42699356204,582.656102540545,2231.42442515139,2106.27727048685,1691.10931135597
"1883",2007,3655.44258013347,1924.20654266911,2851.38447726139,2431.85755487961,3141.22466004891
"1884",4764,13676.3176457828,8689.21913502512,8258.72485670485,9339.04876112855,8130.60156249186
"1885",0,1975.90646999074,1099.06343948827,1372.14501809125,1614.98684697404,1724.52748260324
"1886",466,3666.84845917139,1068.88720300894,3419.1915895642,2997.03259543283,3498.89955578497
"1887",6332,1664.19647057626,1061.66720516303,2389.49904443844,2569.50221616387,2028.25318217584
"1888",2316,4255.03591748687,2473.83686048982,4968.20278974711,4586.16289175934,4526.37388710638
"1889",67315,2916.99448995829,3809.25509722036,3627.13253276351,4509.57859255717,4704.36003204889
"1890",1841,3671.98906768491,2188.53781648964,3201.29310448217,4454.63852584151,3650.20745057439
"1891",9714,7537.94954864423,12017.6039785351,10358.2871549546,12513.3766758909,10229.1765661409
"1892",6412,2704.39327997158,1406.85749775344,2399.65395918268,2600.68063688924,2737.10894380138
"1893",416,1060.46924965437,839.797615443264,1210.34405285348,1635.20550056813,1372.30118696461
"1894",0,507.850402076897,399.42809785585,724.759572249528,1103.4318074295,1021.86894527296
"1895",33122,9261.1022299065,21804.8338469567,14038.8979457268,17923.9079446596,13639.0777361306
"1896",1240,5404.79546660649,8997.05546766325,10110.3581964778,12595.6929260773,11349.0583359075
"1897",0,602.066418953086,781.290341149055,728.166909198322,679.534654799583,705.929536568895
"1898",447,2055.45534531684,498.147925127059,856.598362963722,698.540619749109,661.500150288525
"1899",923,5569.22501499216,11709.3417685912,7171.35144757045,7064.38279430499,7431.97040040764
"1900",17019,16102.008000675,9000.34235526179,10825.1384526882,9665.04576423463,10864.8810937711
"1901",299,4382.55442051959,5367.30575226108,3659.6581213342,3564.09088801169,3692.67696126375
"1902",50,1804.72112851466,634.096077872041,1783.80190030687,2071.05193276321,1771.24938763295
"1903",10,826.353189533869,1546.35988918346,991.945046604361,1419.65116290469,1314.92767739823
"1904",1190,2507.42648523536,13465.915354246,2442.90182756588,2769.04708765304,2545.91390217041
"1905",5,1544.36931156144,2305.38927291815,1778.68966346031,2217.16604704818,2164.39795052999
"1906",6142,2103.50792138914,3062.00971211593,3275.89338436129,4016.92480999283,3673.96732854619
"1907",810,1389.46934097174,810.837477398583,3.20249564666813,79.8530679320728,379.470935521767
"1908",1994,11845.7661200994,20539.7845377008,10330.041064625,12022.3414103332,10934.9318511142
"1909",322,1683.90746677628,1155.56317659602,1493.77486219492,1754.08092728295,1633.51365545644
"1910",482,2081.5559151618,1307.30531623042,1819.69689899428,1571.38083211826,1586.42251343088
"1911",13205,6742.39001645306,18538.3033004775,10367.6152143811,10643.4785516246,10919.5860108805
"1912",10885,3729.01230271422,2873.78327741477,4715.64295253049,4241.04862005749,4405.23327973904
"1913",289,768.174843010595,557.632764306611,190.778095093015,-108.000577899836,25.3369687478898
"1914",13344,1792.78275385783,2215.22025315735,1354.70888763096,2383.79305089416,2073.70018863429
"1915",459,1656.08437157001,3697.26770458138,1400.89822925691,2171.55791339102,2002.5969940076
"1916",1007,5488.55529046518,4321.2395202261,5020.57460488032,5503.27200099229,5429.69380079414
"1917",174,888.469400137187,1070.53895419673,175.056609430795,217.381636450806,269.240077709902
"1918",0,550.673432875428,340.989934971384,180.955431626419,2.14089726861336,49.6673410272471
"1919",110,5429.56676037832,2799.34814549541,3248.64613052935,3403.70394627954,3385.82199683621
"1920",0,313.152739212597,116.317089535258,145.574079569323,-302.784223777421,-46.952759663991
"1921",1035,14376.1368268651,6451.77863819938,7818.05534518074,6731.22406930119,7166.55993649145
"1922",6964,3318.87714693675,1981.42049624541,2867.23876710697,2912.27858850999,2767.39749793853
"1923",221,1180.17942665725,1026.97659573472,911.541821027749,303.310489926846,870.824107337918
"1924",5119,3890.63640161341,6703.95771489007,3864.31691190082,3875.98784761283,3725.53444106652
"1925",55,1587.93379253828,3036.86822146771,1708.74289209345,2237.98934989465,2198.23495673223
"1926",0,1898.25547193824,1825.71885887744,4796.12588201812,5545.26539655542,4180.31845900941
"1927",275,1123.39794581008,814.858186623353,833.50209737749,885.23675370029,352.443739296946
"1928",50116,4469.53291662926,6574.09337689491,4205.73564106045,4039.9418274409,3749.19022013946
"1929",1410,2347.64976752546,4608.26473520389,1612.18575478073,2021.98726607727,1680.73336738047
"1930",0,660.294161520362,730.730536693273,1139.4862124851,1408.93065076957,1221.76272505944
"1931",127,1660.56148669938,1708.63380240032,449.428384468834,824.159463105108,690.865839030314
"1932",1035,1552.01318792989,1487.05458108532,406.837451866193,754.023701976587,654.024511782033
"1933",260,2107.81075745846,2169.10931594634,1947.26090144142,1985.92801963508,1964.90303196865
"1934",1366,3618.15593965098,2379.39003649118,3278.26223270129,3409.00393811509,3374.4853272378
